,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
16100,----,----,----,----,309.3,1,,308.3,,,
16150,----,----,----,----,314.3,1,,313.3,,,
16200,----,----,----,----,319.3,1,,318.3,,,
16250,----,----,----,----,324.3,1,,323.3,,,
16300,----,----,----,----,329.3,1,,328.3,,,
16350,----,----,----,----,334.3,1,,333.3,,,
16400,----,----,----,----,339.3,1,,338.3,,,
16450,----,----,----,----,344.3,1,,343.3,,,
16500,----,----,----,----,349.3,1,,348.3,,,
16550,----,----,----,----,354.3,1,,353.3,,,
16600,----,----,----,----,359.3,1,,358.3,,,
16650,----,----,----,----,364.3,1,,363.3,,,
16700,----,----,----,----,369.3,1,,368.3,,,
16750,----,----,----,----,374.3,1,,373.3,,,
16800,----,----,----,----,379.3,1,,378.3,,,
16850,----,----,----,----,384.3,1,,383.3,,,
16900,----,----,----,----,389.3,1,,388.3,,,
16950,----,----,----,----,394.3,1,,393.3,,,
17000,----,----,----,----,399.3,1,,398.3,,,
17050,----,----,----,----,404.3,1,,403.3,,,
17100,----,----,----,----,409.3,1,,408.3,,,
17150,----,----,----,----,414.3,1,,413.3,,,
17200,----,----,----,----,419.3,1,,418.3,,,
17250,----,----,----,----,424.3,1,,423.3,,,
17300,----,----,----,----,429.3,1,,428.3,,,
17350,----,----,----,----,434.3,1,,433.3,,,
17400,----,----,----,----,439.3,1,,438.3,,,
17450,----,----,----,----,444.3,1,,443.3,,,
17500,----,----,----,----,449.3,1,,448.3,,,
17550,----,----,----,----,454.3,1,,453.3,,,
17600,----,----,----,----,459.3,1,,458.3,,,
17650,----,----,----,----,464.3,1,,463.3,,,
17700,----,----,----,----,469.3,1,,468.3,,,
17750,----,----,----,----,474.3,1,,473.3,,,
17800,----,----,----,----,479.3,1,,478.3,,,
17850,----,----,----,----,484.3,1,,483.3,,,
17900,----,----,----,----,489.3,1,,488.3,,,
17950,----,----,----,----,494.3,1,,493.3,,,
18000,----,----,----,----,499.3,1,,498.3,,,
18050,----,----,----,----,504.3,1,,503.3,,,
18100,----,----,----,----,509.3,1,,508.3,,,
18150,----,----,----,----,514.3,1,,513.3,,,
18200,----,----,----,----,519.3,1,,518.3,,,
18250,----,----,----,----,524.3,1,,523.3,,,
18300,----,----,----,----,529.3,1,,528.3,,,
18350,----,----,----,----,534.3,1,,533.3,,,
18400,----,----,----,----,539.3,1,,538.3,,,
18450,----,----,----,----,544.3,1,,543.3,,,
9550,----,----,----,----,1.05,-0.05,,1.1,,,
9600,----,----,----,----,1.15,-0.05,,1.2,,,
9650,----,----,----,----,1.25,UNCH,,1.25,,,
9700,----,----,----,----,1.3,-0.05,,1.35,,,
9750,----,----,----,----,1.4,-0.05,,1.45,,,
9800,----,----,----,----,1.5,-0.05,,1.55,,,
9850,----,----,----,----,1.6,-0.05,,1.65,,,
9900,----,----,----,----,1.75,-0.05,,1.8,,,
9950,----,----,----,----,1.85,-0.05,,1.9,,,
MCO SEP,16 CME E,MINI S&P MI,DCAP 400 OP,TIONS PUT,,,,,,,
10000,----,----,----,----,6.65,UNCH,,6.65,,,
10050,----,----,----,----,6.9,UNCH,,6.9,,,
10100,----,----,----,----,7.2,UNCH,,7.2,,,
10150,----,----,----,----,7.45,UNCH,,7.45,,,
10200,----,----,----,----,7.75,UNCH,,7.75,,,
10250,----,----,----,----,8.1,UNCH,,8.1,,,
10300,----,----,----,----,8.4,UNCH,,8.4,,,
10350,----,----,----,----,8.75,UNCH,,8.75,,,
10400,----,----,----,----,9.1,UNCH,,9.1,,,
10450,----,----,----,----,9.45,UNCH,,9.45,,,
10500,----,----,----,----,9.8,UNCH,,9.8,,,
10550,----,----,----,----,10.2,UNCH,,10.2,,,
10600,----,----,----,----,10.6,UNCH,,10.6,,,
10650,----,----,----,----,11,UNCH,,11,,,
10700,----,----,----,----,11.45,0.05,,11.4,,,
10750,----,----,----,----,11.85,UNCH,,11.85,,,
10800,----,----,----,----,12.3,UNCH,,12.3,,,
10850,----,----,----,----,12.8,UNCH,,12.8,,,
10900,----,----,----,----,13.3,UNCH,,13.3,,,
10950,----,----,----,----,13.8,UNCH,,13.8,,,
11000,----,----,----,----,14.3,UNCH,,14.3,,,
11050,----,----,----,----,14.85,UNCH,,14.85,,,
11100,----,----,----,----,15.4,UNCH,,15.4,,,
11150,----,----,----,----,16,UNCH,,16,,,
11200,----,----,----,----,16.6,UNCH,,16.6,,,
11250,----,----,----,----,17.25,0.05,,17.2,,,
11300,----,----,----,----,17.9,0.05,,17.85,,,
11350,----,----,----,----,18.6,0.05,,18.55,,,
11400,----,----,----,----,19.3,0.05,,19.25,,,
11450,----,----,----,----,20.05,0.05,,20,,,
11500,----,----,----,----,20.8,0.05,,20.75,,,
11550,----,----,----,----,21.6,0.05,,21.55,,,
11600,----,----,----,----,22.45,0.1,,22.35,,,
11650,----,----,----,----,23.3,0.1,,23.2,,,
11700,----,----,----,----,24.2,0.1,,24.1,,,
11750,----,----,----,----,25.1,0.05,,25.05,,,
11800,----,----,----,----,26.1,0.1,,26,,,
11850,----,----,----,----,27.1,0.1,,27,,,
11900,----,----,----,----,28.15,0.1,,28.05,,,
11950,----,----,----,----,29.25,0.15,,29.1,,,
12000,----,----,----,----,30.35,0.1,,30.25,,,
12050,----,----,----,----,31.5,0.1,,31.4,,,
12100,----,----,----,----,32.7,0.1,,32.6,,,
12150,----,----,----,----,33.95,0.1,,33.85,,,
12200,----,----,----,----,35.25,0.15,,35.1,,,
12250,----,----,----,----,36.6,0.15,,36.45,,,
12300,----,----,----,----,38,0.15,,37.85,,,
12350,----,----,----,----,39.4,0.15,,39.25,,,
12400,----,----,----,----,40.9,0.15,,40.75,,,
12450,----,----,----,----,42.45,0.2,,42.25,,,
12500,----,----,----,----,44,0.2,,43.8,,,
12550,----,----,----,----,45.65,0.2,,45.45,,,
12600,----,----,----,----,47.35,0.25,,47.1,,,
12650,----,----,----,----,49.1,0.25,,48.85,,,
12700,----,----,----,----,50.85,0.2,,50.65,,,
12750,----,----,----,----,52.7,0.2,,52.5,,,
12800,----,----,----,----,54.65,0.3,,54.35,,,
12850,----,----,----,----,56.6,0.3,,56.3,,,
12900,----,----,----,----,58.6,0.25,,58.35,,,
12950,----,----,----,----,60.7,0.3,,60.4,,,
13000,----,----,----,----,62.85,0.3,,62.55,,,
13050,----,----,----,----,65,0.25,,64.75,,,
13100,----,----,----,----,67.3,0.35,,66.95,,,
13150,----,----,----,----,69.65,0.35,,69.3,,,
13200,----,----,----,----,72.05,0.35,,71.7,,,
13250,----,----,----,----,74.5,0.4,,74.1,,,
13300,----,----,----,----,77.05,0.4,,76.65,,,
13350,----,----,----,----,79.65,0.4,,79.25,,,
13400,----,----,----,----,82.3,0.4,,81.9,,,
13450,----,----,----,----,85.1,0.45,,84.65,,,
13500,----,----,----,----,87.9,0.45,,87.45,,,
13550,----,----,----,----,90.8,0.5,,90.3,,,
13600,----,----,----,----,93.75,0.45,,93.3,,,
13650,----,----,----,----,96.85,0.55,,96.3,,,
13700,----,----,----,----,99.9,0.5,,99.4,,,
13750,----,----,----,----,103.15,0.55,,102.6,,,
13800,----,----,----,----,106.45,0.6,,105.85,,,
13850,----,----,----,----,109.8,0.6,,109.2,,,
13900,----,----,----,----,113.2,0.6,,112.6,,,
13950,----,----,----,----,116.7,0.6,,116.1,,,
14000,----,----,----,----,120.3,0.65,,119.65,,,
14050,----,----,----,----,123.95,0.65,,123.3,,,
14100,----,----,----,----,127.7,0.7,,127,,,
14150,----,----,----,----,131.5,0.7,,130.8,,,
14200,----,----,----,----,135.4,0.75,,134.65,,,
14250,----,----,----,----,139.3,0.75,,138.55,,,
14300,----,----,----,----,143.3,0.75,,142.55,,,
14350,----,----,----,----,147.4,0.75,,146.65,,,
14400,----,----,----,----,151.55,0.8,,150.75,,,
14450,----,----,----,----,155.75,0.8,,154.95,,,
14500,----,----,----,----,160,0.85,,159.15,,,
14550,----,----,----,----,164.3,0.85,,163.45,,,
14600,----,----,----,----,168.7,0.85,,167.85,,,
14650,----,----,----,----,173.15,0.9,,172.25,,,
14700,----,----,----,----,177.6,0.9,,176.7,,,
14750,----,----,----,----,182.1,0.9,,181.2,,,
14800,----,----,----,----,186.65,0.9,,185.75,,,
14850,----,----,----,----,191.25,0.95,,190.3,,,
14900,----,----,----,----,195.85,0.9,,194.95,,,
14950,----,----,----,----,200.55,0.95,,199.6,,,
15000,----,----,----,----,205.25,0.95,,204.3,,,
15050,----,----,----,----,210,0.95,,209.05,,,
15100,----,----,----,----,214.75,0.95,,213.8,,,
15150,----,----,----,----,219.55,0.95,,218.6,,,
15200,----,----,----,----,224.4,1,,223.4,,,
15250,----,----,----,----,229.25,1,,228.25,,,
15300,----,----,----,----,234.1,1,,233.1,,,
15350,----,----,----,----,238.95,1,,237.95,,,
15400,----,----,----,----,243.9,1,,242.9,,,
15450,----,----,----,----,248.8,1,,247.8,,,
15500,----,----,----,----,253.7,0.95,,252.75,,,
15550,----,----,----,----,258.65,0.95,,257.7,,,
15600,----,----,----,----,263.65,1,,262.65,,,
15650,----,----,----,----,268.6,1,,267.6,,,
15700,----,----,----,----,273.6,1,,272.6,,,
15750,----,----,----,----,278.6,1,,277.6,,,
15800,----,----,----,----,283.6,1,,282.6,,,
15850,----,----,----,----,288.6,1,,287.6,,,
15900,----,----,----,----,293.6,1,,292.6,,,
15950,----,----,----,----,298.6,1,,297.6,,,
16000,----,----,----,----,303.6,1,,302.6,,,
16050,----,----,----,----,308.6,1,,307.6,,,
16100,----,----,----,----,313.6,1,,312.6,,,
16150,----,----,----,----,318.6,1,,317.6,,,
16200,----,----,----,----,323.6,1,,322.6,,,
16250,----,----,----,----,328.6,1,,327.6,,,
16300,----,----,----,----,333.6,1,,332.6,,,
16350,----,----,----,----,338.6,1,,337.6,,,
16400,----,----,----,----,343.6,1,,342.6,,,
16450,----,----,----,----,348.6,1,,347.6,,,
16500,----,----,----,----,353.6,1,,352.6,,,
16550,----,----,----,----,358.6,1,,357.6,,,
16600,----,----,----,----,363.6,1,,362.6,,,
16650,----,----,----,----,368.6,1,,367.6,,,
16700,----,----,----,----,373.6,1,,372.6,,,
16750,----,----,----,----,378.6,1,,377.6,,,
16800,----,----,----,----,383.6,1,,382.6,,,
16850,----,----,----,----,388.6,1,,387.6,,,
16900,----,----,----,----,393.6,1,,392.6,,,
16950,----,----,----,----,398.6,1,,397.6,,,
17000,----,----,----,----,403.6,1,,402.6,,,
17050,----,----,----,----,408.6,1,,407.6,,,
17100,----,----,----,----,413.6,1,,412.6,,,
17150,----,----,----,----,418.6,1,,417.6,,,
17200,----,----,----,----,423.6,1,,422.6,,,
17250,----,----,----,----,428.6,1,,427.6,,,
17300,----,----,----,----,433.6,1,,432.6,,,
17350,----,----,----,----,438.6,1,,437.6,,,
17400,----,----,----,----,443.6,1,,442.6,,,
9500,----,----,----,----,4.4,UNCH,,4.4,,,
9550,----,----,----,----,4.6,UNCH,,4.6,,,
9600,----,----,----,----,4.8,UNCH,,4.8,,,
9650,----,----,----,----,5,UNCH,,5,,,
9700,----,----,----,----,5.2,UNCH,,5.2,,,
9750,----,----,----,----,5.4,UNCH,,5.4,,,
9800,----,----,----,----,5.65,UNCH,,5.65,,,
9850,----,----,----,----,5.85,UNCH,,5.85,,,
9900,----,----,----,----,6.1,UNCH,,6.1,,,
9950,----,----,----,----,6.35,UNCH,,6.35,,,
MCO DEC,16 CME E,MINI S&P MI,DCAP 400 OP,TIONS PUT,,,,,,,
10000,----,----,----,----,12.5,0.05,,12.45,,,
10050,----,----,----,----,12.85,UNCH,,12.85,,,
10100,----,----,----,----,13.25,UNCH,,13.25,,,
10150,----,----,----,----,13.7,0.05,,13.65,,,
10200,----,----,----,----,14.1,0.05,,14.05,,,
10250,----,----,----,----,14.55,0.05,,14.5,,,
10300,----,----,----,----,15,0.05,,14.95,,,
10350,----,----,----,----,15.45,0.05,,15.4,,,
10400,----,----,----,----,15.9,0.05,,15.85,,,
10450,----,----,----,----,16.4,0.05,,16.35,,,
10500,----,----,----,----,16.9,0.05,,16.85,,,
10550,----,----,----,----,17.4,0.05,,17.35,,,
10600,----,----,----,----,17.9,0.05,,17.85,,,
10650,----,----,----,----,18.45,0.05,,18.4,,,
10700,----,----,----,----,19,0.05,,18.95,,,
10750,----,----,----,----,19.55,0.05,,19.5,,,
10800,----,----,----,----,20.15,0.05,,20.1,,,
10850,----,----,----,----,20.75,0.05,,20.7,,,
10900,----,----,----,----,21.4,0.1,,21.3,,,
10950,----,----,----,----,22,0.05,,21.95,,,
11000,----,----,----,----,22.65,0.05,,22.6,,,
11050,----,----,----,----,23.35,0.1,,23.25,,,
11100,----,----,----,----,24.05,0.1,,23.95,,,
11150,----,----,----,----,24.75,0.05,,24.7,,,
11200,----,----,----,----,25.5,0.05,,25.45,,,
11250,----,----,----,----,26.25,0.05,,26.2,,,
11300,----,----,----,----,27.05,0.1,,26.95,,,
11350,----,----,----,----,27.85,0.1,,27.75,,,
11400,----,----,----,----,28.7,0.1,,28.6,,,
11450,----,----,----,----,29.55,0.1,,29.45,,,
11500,----,----,----,----,30.45,0.1,,30.35,,,
11550,----,----,----,----,31.35,0.1,,31.25,,,
11600,----,----,----,----,32.3,0.15,,32.15,,,
11650,----,----,----,----,33.25,0.1,,33.15,,,
11700,----,----,----,----,34.25,0.1,,34.15,,,
11750,----,----,----,----,35.3,0.15,,35.15,,,
11800,----,----,----,----,36.35,0.15,,36.2,,,
11850,----,----,----,----,37.4,0.1,,37.3,,,
11900,----,----,----,----,38.55,0.15,,38.4,,,
11950,----,----,----,----,39.7,0.15,,39.55,,,
12000,----,----,----,----,40.9,0.15,,40.75,,,
12050,----,----,----,----,42.1,0.15,,41.95,,,
12100,----,----,----,----,43.35,0.15,,43.2,,,
12150,----,----,----,----,44.65,0.15,,44.5,,,
12200,----,----,----,----,46,0.2,,45.8,,,
12250,----,----,----,----,47.4,0.2,,47.2,,,
12300,----,----,----,----,48.8,0.2,,48.6,,,
12350,----,----,----,----,50.25,0.2,,50.05,,,
12400,----,----,----,----,51.75,0.25,,51.5,,,
12450,----,----,----,----,53.3,0.25,,53.05,,,
12500,----,----,----,----,54.85,0.25,,54.6,,,
12550,----,----,----,----,56.5,0.25,,56.25,,,
12600,----,----,----,----,58.15,0.25,,57.9,,,
12650,----,----,----,----,59.9,0.3,,59.6,,,
12700,----,----,----,----,61.65,0.3,,61.35,,,
12750,----,----,----,----,63.45,0.3,,63.15,,,
12800,----,----,----,----,65.3,0.3,,65,,,
12850,----,----,----,----,67.25,0.35,,66.9,,,
12900,----,----,----,----,69.2,0.3,,68.9,,,
12950,----,----,----,----,71.2,0.3,,70.9,,,
13000,----,----,----,----,73.3,0.35,,72.95,,,
13050,----,----,----,----,75.4,0.35,,75.05,,,
13100,----,----,----,----,77.6,0.35,,77.25,,,
13150,----,----,----,----,79.8,0.3,,79.5,,,
13200,----,----,----,----,82.15,0.4,,81.75,,,
13250,----,----,----,----,84.45,0.35,,84.1,,,
13300,----,----,----,----,86.9,0.45,,86.45,,,
13350,----,----,----,----,89.4,0.45,,88.95,,,
13400,----,----,----,----,91.9,0.45,,91.45,,,
13450,----,----,----,----,94.5,0.45,,94.05,,,
13500,----,----,----,----,97.15,0.5,,96.65,,,
13550,----,----,----,----,99.9,0.5,,99.4,,,
13600,----,----,----,----,102.65,0.45,,102.2,,,
13650,----,----,----,----,105.55,0.55,,105,,,
13700,----,----,----,----,108.4,0.45,,107.95,,,
13750,----,----,----,----,111.45,0.55,,110.9,,,
13800,----,----,----,----,114.5,0.55,,113.95,,,
13850,----,----,----,----,117.6,0.6,,117,,,
13900,----,----,----,----,120.8,0.6,,120.2,,,
13950,----,----,----,----,124,0.55,,123.45,,,
14000,----,----,----,----,127.35,0.65,,126.7,,,
14050,----,----,----,----,130.75,0.65,,130.1,,,
14100,----,----,----,----,134.15,0.65,,133.5,,,
14150,----,----,----,----,137.7,0.7,,137,,,
14200,----,----,----,----,141.25,0.65,,140.6,,,
14250,----,----,----,----,144.9,0.7,,144.2,,,
14300,----,----,----,----,148.6,0.7,,147.9,,,
14350,----,----,----,----,152.35,0.75,,151.6,,,
14400,----,----,----,----,156.2,0.75,,155.45,,,
14450,----,----,----,----,160.1,0.75,,159.35,,,
14500,----,----,----,----,164,0.75,,163.25,,,
14550,----,----,----,----,168.05,0.8,,167.25,,,
14600,----,----,----,----,172.1,0.8,,171.3,,,
14650,----,----,----,----,176.2,0.75,,175.45,,,
14700,----,----,----,----,180.35,0.8,,179.55,,,
14750,----,----,----,----,184.6,0.85,,183.75,,,
14800,----,----,----,----,188.9,0.85,,188.05,,,
14850,----,----,----,----,193.15,0.8,,192.35,,,
14900,----,----,----,----,197.55,0.85,,196.7,,,
14950,----,----,----,----,202,0.9,,201.1,,,
15000,----,----,----,----,206.45,0.9,,205.55,,,
15050,----,----,----,----,210.95,0.9,,210.05,,,
15100,----,----,----,----,215.5,0.9,,214.6,,,
15150,----,----,----,----,220.1,0.95,,219.15,,,
15200,----,----,----,----,224.7,0.95,,223.75,,,
15250,----,----,----,----,229.35,0.95,,228.4,,,
15300,----,----,----,----,234,0.9,,233.1,,,
15350,----,----,----,----,238.75,0.95,,237.8,,,
15400,----,----,----,----,243.5,1,,242.5,,,
15450,----,----,----,----,248.25,1,,247.25,,,
15500,----,----,----,----,253,0.9,,252.1,,,
15550,----,----,----,----,257.85,0.95,,256.9,,,
15600,----,----,----,----,262.7,1,,261.7,,,
15650,----,----,----,----,267.6,1,,266.6,,,
15700,----,----,----,----,272.45,1,,271.45,,,
15750,----,----,----,----,277.4,1,,276.4,,,
15800,----,----,----,----,282.3,0.95,,281.35,,,
15850,----,----,----,----,287.25,1,,286.25,,,
15900,----,----,----,----,292.2,0.95,,291.25,,,
15950,----,----,----,----,297.2,1,,296.2,,,
16000,----,----,----,----,302.2,1,,301.2,,,
16050,----,----,----,----,307.2,1,,306.2,,,
16100,----,----,----,----,312.2,1,,311.2,,,
16150,----,----,----,----,317.2,1,,316.2,,,
16200,----,----,----,----,322.2,1,,321.2,,,
16250,----,----,----,----,327.2,1,,326.2,,,
16300,----,----,----,----,332.2,1,,331.2,,,
16350,----,----,----,----,337.2,1,,336.2,,,
16400,----,----,----,----,342.2,1,,341.2,,,
16450,----,----,----,----,347.2,1,,346.2,,,
16500,----,----,----,----,352.2,1,,351.2,,,
16550,----,----,----,----,357.2,1,,356.2,,,
16600,----,----,----,----,362.2,1,,361.2,,,
16650,----,----,----,----,367.2,1,,366.2,,,
16700,----,----,----,----,372.2,1,,371.2,,,
16750,----,----,----,----,377.2,1,,376.2,,,
16800,----,----,----,----,382.2,1,,381.2,,,
16850,----,----,----,----,387.2,1,,386.2,,,
9550,----,----,----,----,9.45,UNCH,,9.45,,,
9600,----,----,----,----,9.75,UNCH,,9.75,,,
9650,----,----,----,----,10.05,UNCH,,10.05,,,
9700,----,----,----,----,10.4,0.05,,10.35,,,
9750,----,----,----,----,10.7,UNCH,,10.7,,,
9800,----,----,----,----,11.05,UNCH,,11.05,,,
9850,----,----,----,----,11.4,UNCH,,11.4,,,
9900,----,----,----,----,11.75,UNCH,,11.75,,,
9950,----,----,----,----,12.1,UNCH,,12.1,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,,,,,
EW FEB1,6 End of,Month (EOM,) Emini S&P,Options,CALL,,,,,,
1000,----,----,----,----,916.5,-6,,922.5,,,
1025,----,----,----,----,891.5,-6,,897.5,,,
1050,----,----,----,----,866.5,-6,,872.5,,,
1075,----,----,----,----,841.5,-6,,847.5,,,
1100,----,----,----,----,816.5,-6,,822.5,,,
1125,----,----,----,----,791.5,-6,,797.5,,,
1150,----,----,----,----,766.5,-6,,772.5,,,
1175,----,----,----,----,741.5,-6,,747.5,,,
1200,----,----,----,----,716.5,-6,,722.5,,,
1225,----,----,----,----,691.5,-6,,697.5,,,
1250,----,----,----,----,666.5,-6,,672.5,,,
1275,----,----,----,----,641.5,-6,,647.5,,,
1300,----,----,----,----,616.5,-6,,622.5,,,
1305,----,----,----,----,611.5,-6,,617.5,,,
1310,----,----,----,----,606.5,-6,,612.5,,,
1315,----,----,----,----,601.5,-6,,607.5,,,
1320,----,----,----,----,596.5,-6,,602.5,,,
1325,----,----,----,----,591.5,-6,,597.5,,,
1330,----,----,----,----,586.5,-6,,592.5,,,
1335,----,----,----,----,581.5,-6,,587.5,,,
1340,----,----,----,----,576.5,-6,,582.5,,,
1345,----,----,----,----,571.5,-6,,577.5,,,
1350,----,----,----,----,566.5,-6,,572.5,,,
1355,----,----,----,----,561.5,-6,,567.5,,,
1360,----,----,----,----,556.5,-6,,562.5,,,
1365,----,----,----,----,551.5,-6,,557.5,,,
1370,----,----,----,----,546.5,-6,,552.5,,,
1375,----,----,----,----,541.5,-6,,547.5,,,
1380,----,----,----,----,536.5,-6,,542.5,,,
1385,----,----,----,----,531.5,-6,,537.5,,,
1390,----,----,----,----,526.5,-6,,532.5,,,
1395,----,----,----,----,521.5,-6,,527.5,,,
1400,----,----,----,----,516.5,-6,,522.5,,,
1405,----,----,----,----,511.5,-6,,517.5,,,
1410,----,----,----,----,506.5,-6,,512.5,,,
1415,----,----,----,----,501.5,-6,,507.5,,,
1420,----,----,----,----,496.5,-6,,502.5,,,
1425,----,----,----,----,491.5,-6,,497.5,,,
1430,----,----,----,----,486.5,-6.25,,492.75,,,
1435,----,----,----,----,481.5,-6.25,,487.75,,,
1440,----,----,----,----,476.5,-6.25,,482.75,,,
1445,----,----,----,----,471.5,-6.25,,477.75,,,
1450,----,----,----,----,466.5,-6.25,,472.75,,,
1455,----,----,----,----,461.5,-6.25,,467.75,,,
1460,----,----,----,----,456.5,-6.25,,462.75,,,
1465,----,----,----,----,451.5,-6.25,,457.75,,,
1470,----,----,----,----,446.5,-6.25,,452.75,,,
1475,----,----,----,----,441.5,-6.25,,447.75,,,
1480,----,----,----,----,436.5,-6.25,,442.75,,,
1485,----,----,----,----,431.5,-6.25,,437.75,,,
1490,----,----,----,----,426.5,-6.25,,432.75,,,
1495,----,----,----,----,421.5,-6.25,,427.75,,,
1500,----,----,----,----,416.5,-6.25,,422.75,,,
1505,----,----,----,----,411.5,-6.25,,417.75,,,
1510,----,----,----,----,406.5,-6.25,,412.75,,,
1515,----,----,----,----,401.5,-6.25,,407.75,,,
1520,----,----,----,----,396.5,-6.25,,402.75,,,
1525,----,----,----,----,391.5,-6.25,,397.75,,,
1530,----,----,----,----,386.5,-6.25,,392.75,,,
1535,----,----,----,----,381.75,-6,,387.75,,,
1540,----,----,----,----,376.75,-6,,382.75,,,
1545,----,----,----,----,371.75,-6,,377.75,,,
1550,----,----,----,----,366.75,-6,,372.75,,,
1555,----,----,----,----,361.75,-6,,367.75,,,
1560,----,----,----,----,356.75,-6,,362.75,,,
1565,----,----,----,----,351.75,-6,,357.75,,,
1570,----,----,----,----,346.75,-6,,352.75,,,
1575,----,----,----,----,341.75,-6,,347.75,,,
1580,----,----,----,----,336.75,-6,,342.75,,,
1585,----,----,----,----,331.75,-6,,337.75,,,
1590,----,----,----,----,326.75,-6.25,,333,,,
1595,----,----,----,----,321.75,-6.25,,328,,,
1600,----,----,----,----,316.75,-6.25,,323,,,
1605,----,----,----,----,311.75,-6.25,,318,,,
1610,----,----,----,----,306.75,-6.25,,313,,,
1615,----,----,----,----,301.75,-6.25,,308,,,
1620,----,----,----,----,296.75,-6.25,,303,,,
1625,----,----,----,----,291.75,-6.25,,298,,,
1630,----,----,----,----,286.75,-6.25,,293,,,
1635,----,----,----,----,281.75,-6.25,,288,,,
1640,----,----,----,----,276.75,-6.25,,283,,,
1645,----,----,----,----,271.75,-6.25,,278,,,
1650,----,----,----,----,266.75,-6.25,,273,,,
1655,----,----,----,----,261.75,-6.25,,268,,,
1660,----,----,----,----,256.75,-6.25,,263,,,
1665,----,----,----,----,251.75,-6.25,,258,,,
1670,----,----,----,----,246.75,-6.25,,253,,,
1675,----,----,----,----,242,-6,,248,,,
1680,----,----,----,----,237,-6,,243,,,
1685,----,----,----,----,232,-6,,238,,,
1690,----,----,----,----,227,-6,,233,,,
1695,----,----,----,----,222,-6.25,,228.25,,,
1700,----,----,----,----,217,-6.25,,223.25,,,
1705,----,----,----,----,212,-6.25,,218.25,,,
1710,----,----,----,----,207,-6.25,,213.25,,,
1715,----,----,----,----,202,-6.25,,208.25,,,
1720,----,----,----,----,197,-6.5,,203.5,,,
1725,----,----,----,----,192,-6.5,,198.5,,,
1730,----,----,----,----,187.25,-6.25,,193.5,,,
1735,----,----,----,----,182.25,-6.25,,188.5,,,5
1740,----,----,----,----,177.25,-6.25,,183.5,,,3
1745,----,----,----,----,172.25,-6.25,,178.5,,,
1750,----,----,----,----,167.5,-6.25,,173.75,,,2
1755,----,----,----,----,162.5,-6.25,,168.75,,,4
1760,----,----,----,----,157.5,-6.5,,164,,,4
1765,----,----,----,----,152.5,-6.5,,159,,,3
1770,----,----,----,----,147.75,-6.25,,154,,,3
1775,----,----,----,----,142.75,-6.5,,149.25,,,
1780,----,----,----,----,138,-6.25,,144.25,,,
1785,----,----,----,----,133,-6.5,,139.5,,,21
1790,----,----,----,----,128.25,-6.25,,134.5,,,122
1795,----,----,----,----,123.25,-6.5,,129.75,,,18
1800,----,----,----,----,118.5,-6.5,,125,,,213
1805,----,----,----,----,113.75,-6.5,,120.25,,,51
1810,----,----,----,----,109,-6.5,,115.5,,,15
1815,----,----,----,----,104.25,-6.5,,110.75,,,43
1820,----,----,----,----,99.5,-6.5,,106,,,6
1825,----,----,----,----,94.75,-6.75,,101.5,,,150
1830,----,----,----,----,90.25,-6.75,,97,,,205
1835,----,----,----,----,85.5,-6.75,,92.25,6,,341
1840,----,----,----,----,81,-6.75,3,87.75,3,,292
1845,----,----,----,----,76.5,-7,6,83.5,,,246
1850,----,----,68.50A,68.50A,72,-7,3,79,7,,558
1855,----,----,64.25A,67.00B,67.75,-6.75,,74.5,,,254
1860,----,73.25B,60.00A,63.50B,63.5,-6.75,,70.25,8,,1047
1865,----,71.25B,56.00A,59.50B,59.25,-6.75,,66,1,,311
1870,----,69.00B,51.75A,55.25B,55,-7,,62,11,,567
1875,63,64.75B,48.00A,51.25B,51,-7,4,58,82,,833
1880,45.5,60.75B,44.00A,47.25B,47.25,-6.75,4,54,13,,309
1885,51.25,56.50B,40.25A,43.75B,43.5,-6.75,2,50.25,18,,162
1890,39.25,52.50B,36.75A,40.00B,39.75,-6.75,102,46.5,15,,353
1895,----,48.75B,33.25A,36.25B,36,-6.75,,42.75,7,,256
1900,41,45.5,30,33.00B,32.75,-6.5,34,39.25,464,,1778
1905,39,41.25B,26.75A,29.50B,29.5,-6.25,78,35.75,28,,832
1910,33.25,37.75B,23.75A,26.50B,26.25,-6.25,129,32.5,14,,741
1915,31.5,34.25B,21.00A,23.50B,23.5,-5.75,82,29.25,244,,1947
1920,27.75,31.00B,18.25A,20.75B,20.5,-5.75,77,26.25,113,,583
1925,26,28.00B,16.00A,18.25B,18,-5.5,421,23.5,1581,,1535
1930,23,25.25B,13.75A,15.75B,15.5,-5.25,29,20.75,124,,1327
1935,19.75,22.25B,11.75A,13.50B,13.25,-5,24,18.25,287,,1038
1940,17,19.75B,9.75A,11.25B,11.25,-4.75,139,16,36,,889
1945,15.25,17.25B,8.25A,9.50B,9.5,-4.25,30,13.75,299,,972
1950,12.75,14.75B,6.75,7.75,7.75,-4,766,11.75,5992,,2439
1955,8.25,12.75B,5.50A,6.50B,6.5,-3.5,24,10,145,,671
1960,9.25,10.75B,4.35A,5.25B,5.25,-3.25,32,8.5,388,,567
1965,4,9.00B,3.45A,4.15B,4.15,-2.85,102,7,183,,564
